id,latitude,longitude,zipcode,accommodates,bathrooms,bedrooms,beds,nightly_price,price_per_stay,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,host_id,host_total_listings_count,number_of_reviews,number_of_stays,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification
17975389,32.83052,-117.25445,92037,10,3.0,4.0,5.0,794.0,794.0,1000.0,599.0,10,0.0,1,1125,122055416,403.0,6,12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
17622883,32.81183,-117.25777,92109,10,3.0,3.0,6.0,394.0,394.0,350.0,249.0,8,50.0,2,1125,36231727,1.0,37,74,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
4403318,32.76235,-117.25043,92109,10,3.0,3.0,4.0,260.0,780.0,300.0,125.0,8,25.0,3,1125,21748484,19.0,32,64,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
28786001,32.79911,-117.24162,92109,10,3.0,3.0,3.0,260.0,780.0,500.0,175.0,6,25.0,3,1124,3973963,6.0,13,26,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0
32064389,32.78975,-117.25384,92109,10,3.5,4.0,7.0,780.0,780.0,500.0,375.0,10,0.0,1,1125,60373371,25.0,2,4,100.0,10.0,10.0,6.0,10.0,10.0,10.0,0,0,0,0,0
27057911,32.83611,-117.19996,92117,10,3.0,3.0,5.0,380.0,380.0,0.0,166.0,1,0.0,2,1125,126644161,287.0,21,42,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
4270625,32.76197,-117.25223,92109,10,3.0,3.0,4.0,250.0,750.0,300.0,125.0,8,25.0,3,1125,21748484,19.0,47,94,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0,0,0
14570024,32.7666,-117.25114,92109,10,4.0,4.0,6.0,750.0,750.0,0.0,350.0,8,0.0,1,365,88168913,168.0,13,26,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
34176303,32.78786,-117.08695,92120,10,2.0,4.0,4.0,250.0,750.0,1000.0,150.0,8,20.0,3,1125,6082110,1.0,22,44,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
34756137,32.84541,-117.23027,92122,10,2.0,4.0,4.0,375.0,375.0,0.0,165.0,1,0.0,2,30,262117684,1.0,0,0,94.89855072463769,9.695652173913043,9.545893719806763,9.758454106280194,9.806763285024154,9.922705314009661,9.48792270531401,0,1,0,0,0
35423669,32.8592,-117.25478,92037,10,3.0,3.0,3.0,750.0,750.0,1000.0,250.0,1,0.0,1,365,38690778,86.0,2,4,90.0,10.0,6.0,10.0,10.0,10.0,8.0,0,1,0,0,0
31618708,32.76238,-117.24985,92109,10,4.0,4.0,7.0,745.0,745.0,0.0,515.0,8,0.0,1,365,88168913,168.0,0,0,94.1680236861584,9.608598962194218,9.455218356772761,9.812453669384729,9.796886582653817,9.885100074128985,9.318013343217197,0,1,0,0,0
17975403,32.84925,-117.26375,92037,10,3.0,4.0,5.0,735.0,735.0,1000.0,549.0,10,0.0,1,1125,122055416,403.0,8,16,93.0,10.0,10.0,9.0,10.0,10.0,9.0,0,1,0,0,0
24758712,32.7986,-117.20472,92117,10,3.0,5.0,5.0,244.0,732.0,0.0,150.0,1,0.0,3,1125,151459081,2.0,6,12,100.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,0,0,0
34119268,32.83634,-117.27662,92037,10,3.0,4.0,6.0,717.0,717.0,1000.0,574.0,10,0.0,1,1125,122055416,403.0,2,4,90.0,10.0,10.0,8.0,9.0,10.0,8.0,0,1,0,0,0
1650100,32.77355,-117.25002,92109,10,2.0,3.0,5.0,237.0,711.0,300.0,263.0,6,20.0,3,1125,874515,25.0,8,16,77.0,8.0,8.0,9.0,9.0,10.0,7.0,0,0,0,0,0
14763367,32.74472,-117.16649,92103,10,2.0,4.0,4.0,350.0,350.0,500.0,195.0,8,50.0,2,1125,10913348,4.0,64,128,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
30558579,32.80612,-117.25785,92109,10,2.5,3.0,9.0,350.0,350.0,500.0,150.0,1,0.0,2,1125,142695734,1.0,18,36,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,0,0,0
36528201,32.62612,-117.08188,91910,10,2.0,4.0,4.0,350.0,350.0,150.0,150.0,5,20.0,2,8,56211991,1.0,4,8,85.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
24656104,32.79794,-117.24401,92109,10,2.0,4.0,6.0,699.0,699.0,0.0,125.0,6,25.0,1,999,15255144,3.0,63,126,98.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
13248008,32.74194,-117.17389,92103,10,4.0,5.0,7.0,695.0,695.0,1000.0,200.0,10,50.0,1,365,7597786,7.0,10,20,92.0,9.0,9.0,9.0,10.0,10.0,9.0,0,1,0,0,0
14930115,32.76057,-117.25217,92109,10,2.0,4.0,5.0,695.0,695.0,0.0,325.0,8,0.0,1,365,88168913,168.0,19,38,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,0,0,0
23923202,32.80945,-117.248,92109,10,2.0,3.0,6.0,229.0,687.0,400.0,195.0,1,0.0,3,1125,3017970,69.0,11,22,98.0,9.0,10.0,10.0,10.0,9.0,9.0,0,0,0,1,1
10439601,32.73378,-117.22216,92106,10,2.0,3.0,8.0,340.0,340.0,500.0,120.0,6,50.0,2,1125,50680944,3.0,116,232,96.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
16948578,32.79042,-117.25321,92109,10,2.5,4.0,5.0,675.0,675.0,500.0,335.0,6,0.0,1,365,88168913,168.0,24,48,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,0,0,0
27318069,32.78529,-117.25319,92109,10,3.5,4.0,7.0,675.0,675.0,0.0,335.0,6,0.0,1,365,88168913,168.0,7,14,97.0,10.0,9.0,10.0,9.0,10.0,9.0,0,1,0,0,0
10041034,32.7836,-117.25343,92109,10,3.0,4.0,4.0,660.0,660.0,1000.0,309.0,1,0.0,1,365,38690778,86.0,6,12,90.0,10.0,9.0,10.0,10.0,10.0,8.0,0,1,0,0,0
17272259,32.86129,-117.19958,92122,10,2.0,4.0,6.0,329.0,329.0,300.0,140.0,10,25.0,2,90,116471959,3.0,66,132,98.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,0,0,0
29779858,32.81922,-117.19927,92117,10,3.0,4.0,5.0,329.0,329.0,0.0,195.0,6,5.0,2,180,104267707,9.0,39,78,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
